老朽	老而 衰败 老朽 以终
克	勤 俭
拿下	NONE
占领	NONE
攻城略地	掠夺 攻打 城市 掠夺 土地
攻城掠地	攻指 攻打 进攻 掠指 侵略 掠夺 攻打 城市 掠夺 土地 常指 征战 第七版 现代汉语 词典 作 攻城略地 非 掠
一锅端	比喻 一下子 全拿 剩余 比喻 一下子全部 消灭
攻取	攻打 占领
把下	犹 拿下
夺回	NONE
占据	强力
占	有用 强力 据霸 强
盘踞	非法 占据 霸占 作 盘据
龙盘虎踞	NONE
收复	夺回 领土 阵地 收复 城市 收复失地
克复	恢复
光复	恢复 原有 领土 统治 事业
取回	和平 手段 夺走 非法 扣押 手里 收回 财产
击败	打败
打败	战胜
战败	打败 败阵
挫败	使受 挫折 击败
击破	打败 挎 敌方 元气 损伤 难以 恢复
击溃	打垮 攻打 溃散
粉碎	碎成 粉末
重创	损伤
败	输 失利 成功 胜 北 退 绩 ａ 连队 溃败 ｂ 事业 失利 诉 笔 局两 俱伤
破	碎 完整 碗 ～～ 灭 旧 败 落 陋 颜 转为 笑容 绽 衣服 裂开 指 事情 说话 漏洞 矛盾 牢
克敌制胜	克 战胜 制胜 取得胜利 制服 敌人 取得胜利
各个击破	逐个 击攻 军事 术语 指 利用 优势 兵力 分割 开 敌军 一部分一部分 消灭 比喻 逐个 解决
制伏	强制手段 降伏
击退	打击 后退
退	进 步 路 倒
却	退 步因 畏惧 厌恶 后退 如望 ～～ 退
击落	武器 打落
歼灭	杀光 杀
剿灭	征讨 消灭
歼击	攻击 歼灭
消灭	消失 灭亡
解决	
吃	东西 送 进口 中 咽下 某种事物 生活 饭 药 斋
歼	消灭 灭尽 灭 击 攻击 歼灭 围 聚而
横扫千军	横扫 扫荡 扫除 敌军 象 扫地 似地 一阵子 扫除 掉
攻歼	攻击 消灭
全歼	消灭
歼敌	NONE
追歼	追击 消灭
摧毁	强力 破坏 毁坏
击毁	外来 东西 击中 摧毁
夷	中国 古代 称 东部 民族 东 古时 称 东夷 九种
撤兵	退兵 军队 驻守 地区 撤走
收兵	战场 冲突 地方 撤回 军队 结束战斗
退兵	撤退 军队
退却	称 撤退 军队 放弃 占领 阵地 地区 转移 作战
撤退	战场 冲突 地方 撤回 阵地 占领区 退出
撤防	撤消 布防
撤	免除 职 销
班师	NONE
回师	军队 返回 班师
鸣金收兵	敲锣 发出信号 撤兵 回营 比喻 暂时 结束
撤走	撤离 离开 地方
后撤	军队 上级指示 撤退
撤军	撤消 军事行动 部队 撤离 军事 区
撤出	NONE
被俘	战争 中 活捉
缴获	敌方 夺得 装备 物资 马匹 文件 统称
收获	收取 成熟 农产品
截获	指 途中 拦截
缴	交纳 交付 付 销 款 纳
缴械	解除武装
缴枪	交出 武器 投降
收缴	查收 缴获
虏获	俘虏 其人 斩获 首级 指 俘获 之物
投降	停止 抵抗 放下 武器 屈服
归降	投降
降服	降服 á ú 投降 顺服 投降 顺服 汉书 宣 帝纪 夏 五月 羌   虏 降服 东周 列国志 第四回 戍守 以拒   晋   兵 降服   晋国 显得 无功 巴金 长生塔 皇帝 威武 邻国 降服
降顺	投降 归顺
降	高处 往下走 陟
投诚	军队 人员 叛离 所属 集团 归属
反正	敌方 军队 人员 投到 一方
缴械	解除武装
解缴	犹解纳 金瓶梅 词话 九五 回 山东   守御 府 失盗 事仰 巡检 司官 连人赃解 缴清   黄六 鸿福 惠 全书 升迁 查库 贮 有无 衙门 解缴 本任 贮库 物须 查节 年 贮库 红 簿 照数 备造 清册
诱降	引诱 敌方 投降
割地	割让土地 古时 指 割取 别国 领土
割让	反抗 侵略战争 失败 被迫 一部分 领土 让给 外国
归顺	归附 投诚 归顺 未入 北京 前 诸王 归顺 受 封 郭沫若 甲申 三百年 祭
归附	归顺 依服
归心	回家 念头 即归思
俯首称臣	低头 自称 臣子 泛指 屈服
招安	招抚 招降 统治者 劝诱 武装 反抗者 归降
招抚	招安
招降	招使 敌人 投降
治理	整治 调理
经纬	经线 纬线
经纶	整理 蚕丝
御	驾驶 车马 车
治	管理 理 家 丧 标 国安 邦 统 ～ａ 管理 ｂ 分配
听	耳朵 接受 声音 力 写 觉聆 洗耳 恭
治治	NONE
纬	织布 时用 梭 穿织 横纱 编织物 横线 线 纱经
治监	NONE
治世	和平 昌盛 之世
治国	治理 国家 政务 强盛 安定
治国安民	治 治理 安 安定 治理 国家 安定
安邦定国	邦 泛指 国家 国家 安定
励精图治	励 奋勉 图 设法 治 治理 国家 振奋精神 想 办法 治理 国家
经纶天下	经纶 整理 丝缕 天下 国家 治理 国家
治国安邦	治理 国家 太平 安定
齐家治国平天下	NONE
施政	施行 政务
吏治	旧时 指 地方官吏 作风 治绩
治党	NONE
打非	NONE
扫黄打非	NONE
办理	经办
办	公 事 理
做	工作 活动 事 工 手脚 安排
作	兴起 振 ～| 锣鼓 ～| 日出 ～｜ 一鼓 气 作用 功能 事物 发生变化 力量 ～| 带头
干	事物 主体 树 躯 ～～ 线
操办	操持 办理
经办	经手 办理
承办	承接 经办
经手	某人 手 办理
过手	经手 过手 信件 一件 差错
照办	照章 执行 经办
包办	一手 负责 办理
一手包办	手指 包办 总揽 办理 指一人 独揽 不让 插手
包办代替	指 商量 做 事 办理 不让 参与
筹办	筹措 办理 谋划 开办
筹划	谋划
筹	计数 用具 多用 竹子 制成 策 ａ 古代 计算 用具 以木 制成 小棍 小片 ｂ 计策 算 码 略胜 竹 酒
办案	承办 审理案件
酌办	酌情 办理
补办	NONE
待办	一步 办理
留办	NONE
兼办	NONE
联办	NONE
严办	从严处理 惩罚
大办	NONE
清理	整理
踢蹬	脚乱 蹬 乱 踢
理清	NONE
分理	经受 检验 处置 例行 细节 记录 初步 资料
查处	查办
尘封	指 物品 放置 过久 覆 满灰尘
综合治理	各级党委 政府 统一 领导 下以 政法 机关 骨干 依靠人民 群众 社会 力量 分工合作 综合 法律 政治经济 行政 教育 文化 手段 惩罚 犯罪 改造 罪犯 教育挽救 失足者 预防犯罪 维护 社会治安 保障 幸福生活 保障 现代化 建设 顺利进行 目的
综治	治理
常抓不懈	NONE
省立	NONE
苦心经营	经营 筹划 管理 用尽 心思 筹划 安排
惨淡经营	惨淡 苦费 心思 经营 筹划 费尽心思 辛辛苦苦 经营 筹划 指 困难 境况 中 艰苦 某种 事业
自主经营	NONE
自营	生产者 经营 产品
兼营	本业 经营
公私合营	政府 私人 商业机构 经营
联营	多个 组织 联合 经营
合营	一同 经营
安置	敬语 请 休息 睡前 问候语
安顿	解决 住处
安排	安置
铺排	铺张
交待	交际 接待
部署	料理
布局	  事物 全面规划 安排 新市区 布局
布置	某种 场所 活动 人员 做出 安排
配置	作战 时 敌情 地形 兵力 兵器 布置 位置
配备	指 供应 旅行 远征 考察 探险 场合 必备 物品
布	NONE
安排	安置
统配	统一分配
调动	指 兵力 调遣 布置
调	乐曲 乐谱 曲 采菱
调整	调配 整顿 新 情况
调剂	调整 有无 余缺 情况 调整 合宜
调节	数量 程度 规模 调整 符合标准
调试	试验 调整 机器 仪器
调拨	调动 拨给
划拨	转拨 钱款
拨	手指 棍棒 推动 挑动 动把钟 准 冗 推开 繁忙 事物 抽出 时间 云见 日
划	分开 界 分 时代 意义
划转	NONE
核拨	NONE
调遣	调动 派遣
调派	调动 派遣
调配	调和 配合 调动 分配
选调	旧谓 候补 官员 等待 迁调 宋   吴处 厚 青箱 杂记 卷   张 居业   滞 选调 三十 餘年 年 六十 餘始 转京 秩明   田汝成 西湖 游览 志 馀 帝王 孝宗   时有   王过   蜀   人著雋声 犹 选调 宰相 荐 詔除 翰林院 编修
调兵遣将	调动 兵力 派遣 将领 泛指 调动 安排 人力
调制	传送 信息 如在 电报 电话 无线电 广播 电视 中 周期性 断续 变化 载波 信号 某种 特征 振幅 频率 相位 所作 变更
调三斡四	指 挑拨是非
调到	NONE
调职	调到 单位 工作
对调	调换
外调	人员 物资 调出去
借调	单位 借用 单位 工作人员 改变 隶属 关系
下调	指 或物 下属单位 调动
微调	NONE
调入	NONE
调出	NONE
上调	低 部门 调到 高 部门 工作
调离	调往 地方
调味	放在 食物 中 调剂 滋味 可口
调转	调换 方向 尤指 掉头 转向 方向
调集	调在
调控	调节 控制
调流	NONE
调资	调整 工资 数额 用于 长 工资
抽调	抽出 调遣
征调	政府 征集 调用 人力 物资
解调	调制 无线电 信号 中 提取 信息
重整旗鼓	比喻 失败 整顿 再起
整编	整顿 改编 军队 组织 整理 编辑
改编	对原 作品 编写 作品 体裁
收编	军队 收容 改编
派遣	赋予 给予 正式 证件 授权 证明文件 方式 委派
指派	指任 派定
选派	挑选 指派
特派	做 某事 特别 派遣
打发	派 办事
差使	差遣 派遣
差遣	派遣
派	水 支流 指 长江 支流 之多
遣	派送 打发 派 ～～ 送差 ā～ 调 à～～ 返 遣送 回到 地方 散 à～ 词 说话 写文章 词语
使	劲 役 力 钱
差	错误 话 说
着	助词 动作 状态 持续 走 开
叫	呼喊 喊 嚣 呼喊 吵闹 阵 座 戏曲 演员 吸引 观众 苦 鸣冤 屈
外派	指由 雇佣 单位 派遣 城市 国家 单位 工作
派出	NONE
分派	指定 人去 做事
分发	逐个 发给
分配	比例 分发 尤指 比例 分 发给 集团 成员
分	区划 开 开划 ～～ 野 划分 界 明条 缕析 解
增派	NONE
互派	NONE
遣送	带有 强制性 送走
分到	NONE
派兵	NONE
派驻	NONE
指名	指出 名字
点名	顺序 名字
指定	指明
出使	使命 出访 外国 或长 驻 国外
建立	成立
成立	组织 机构 建立
树立	建立
确立	牢固地 建立 树立
建	设置 成立 ａ 成立 ｂ 树 建立 功业 建立 功业 国 ū～ 党 军 交 设 功 立业
立	站 引申为 竖起 正 柜 足 ａ 站 脚 ｂ 处于 某种 立场 场屹 顶天
起	躺 坐 坐 而立 床 居 夜
树	NONE
植	栽 种种 培 栽 ～～ 树
起家	创业
白手起家	白手 空手 起家 创建 家业 形容 基础 条件 很差 情况 自力更生 艰苦创业
另起炉灶	重支 炉灶 比喻 放弃 从头做起
建都	建立 国都 定都
奠都	国家 首都 位置
定都	某地 首都
架起	NONE
搭设	支起 棚架
基本建设	国民经济 部门 增添 固定资产 建设 建设 工厂 矿井 铁路桥梁 农田水利 住宅 购置 机器设备 车辆 船舶 邓小平 形势 轻纺 工业 缩短 基本建设 战线 实行 企业 自主权 试点 省作 基建 赵树理 实干家 潘 永福 经营 之才 一九六 ○ 年 秋收 时节 水利 基建工 地要 劳力 压缩 一部分回 农村 秋收 人民日报 天津市   人民政府 全局 出发 责成 市建委 牵头 审查 基建 项目
拔地而起	山峰 植物 建筑物 高耸 地面 形容 地面 突兀 陡峭 高耸
复建	NONE
重构	NONE
重塑	塑造
组队	NONE
拟建	拟建 计划 新建
整建	NONE
铺建	NONE
续建	NONE
捐建	NONE
购建	NONE
电建	NONE
合建	NONE
搭建	搭盖 建立 组织 机构
筹建	计划 建立 建设
建成	NONE
建交	国家 之间 建立 外交关系
建起	NONE
建设	创立 新 事业 增加 新 设施 充实 新 精神
建章立制	建立 章程 定立 制度
新建	NONE
兴建	建设
组建	组织 建立
重建	建设 建立 重新组建
在建	建设 建设 中 人民日报 邯郸市   政府 紧急措施 清理 在建 项目 停建 五个 计划外 项目 压缩 投资 一百五十余 万元
共建	建设
军民共建	NONE
奠定	建立 安置 稳固
设立	成立 建立
设置	放置 装置
开设	开办 设立
开办	建立 举办
设	布置 安排 置 ａ 设立 ｂ 安装 宴
开	启张 关闭 东西 打开 启 化 诚布公
办	公 事 理
举办	开办 举办 训练班
兴办	兴起 创办
立	站 引申为 竖起 正 柜 足 ａ 站 脚 ｂ 处于 某种 立场 场屹 顶天
办起	NONE
开辟	打通 开拓
辟	开发 建设 开
开拓	采掘 前 修建 巷道 工序 总称
打开	NONE
设点	NONE
设在	NONE
立下	NONE
巧立名目	变着法 定出 名目 某种 正当 目的
设定	陈设 固定不动
添设	增加 设置
埋设	设置 地下 并用 土埋
增设	增添 加设 北京电视台 年 元旦 增设 英语 新闻节目
下设	NONE
分设	设立
布设	分散 设置 布置
内设	NONE
外设	外设 概述 外部设备 简称 外设 指连 计算机主机 硬件 设备 数据 信息 起着 传输 转送 存储 作用 计算机系统 中 组成部分 我国 计算机 普及 网络化 信息化 市场 计算机 外部设备 需求 增长 拉动 我国 计算机 外部设备 产业 快速 发展 产品 规模化 生产 占有 市场份额 预计 未来 几年 我国 计算机 外部设备 产业 研发 自主 核心技术 培育 自有 品牌 提高 产品 性价比 生产 规模 增加 行业 解决方案 不断进步 有望 产品 领域 国际品牌 展开 竞争
特设	NONE
立项	某项 工程 部门 批准 立为 建设项目 车间 当年 当年 施工 当年 投产
立新	NONE
立足	站住脚 指能 住 生存
办学	兴办 学校 集资
办厂	兴办 工厂 经营 工厂
办报	主持 报刊 业务
办证	NONE
创立	建立 建立
开创	创立 开拓 创建
创始	创建 创立
创建	建立
创办	指办 事业 最初 步骤 指 策划 方案 基金 开创 工商业 机构 城镇
创造	NONE
缔造	创建
创设	建立
创	做 造 制首 开 ～～ 演 议
始建	NONE
创导	犹 倡导
开立	创立 后汉书 明 帝纪 岁 年 四姓 小侯 开立 学校 置 五经 师
独创	制造 指 独特 创造
自我作古	NONE
独辟蹊径	开辟 一条 路 比喻 独创 一种 风格 新 方法
标新立异	标 提出 写明 异 特别 提出 新奇 与众不同
独树一帜	树立 帜 旗帜 单独 树起 旗帜 比喻 独特 新奇 自成一家
创出	谓 初次
创下	NONE
主创	文学艺术 作品 创作 过程 中 担负 工作 指 担负 创作 工作
盘古开天地	指 人类 历史
命名	名字 头衔 称呼
定名	给予 名字
起名儿	NONE
取名	名字
为名	或事物 称谓 字 氏 姓 义 分 è～ 堂 落孙山 存实亡
撤销	法律 取消
取消	原有 制度 规章 资格 权利 效力
注销	撤消 消除 作废
吊销	收回 注销
勾销	抹杀 消除 笔划 掉
缴销	东西 收回 注销
销	熔化 金属 金 毁
撤回	召回 派出 军队 特定 位置 地区 有秩序地 撤退
收回	指 取回 发出 借出 财物
撤除	除掉 取消 拆除 设备 设施 东西
裁撤	裁减 撤消
撤	免除 职 销
撤消	撤销
废止	法律 无效 法律 生效 取消
废除	取消 丢弃 用于 法律 习惯 制度 传统
废黜	王位 赶下台
免除	免去 职务
罢免	选民 代表 机关 撤销 选出 人员 职务
豁免	免除 捐税 劳役
免去	免除
解除	免除
罢	停歇 休 工 课 市 打消 打算 笔 停止 写作
免	去掉 除掉 税 费 官 检罢 豁
蠲	免除 免
免予	NONE
免掉	消除 除掉
解散	取消 团体
遣散	严厉 地遣 走
一风吹	比喻 勾销 多指 结论
一笔勾销	账 一笔 抹掉 比喻 取消
一笔抹杀	比喻 轻率地 成绩 优点 否定
免役	免除 某种 服役
免职	解雇 解除 职务
免税	免缴 税款
免费	免缴 费用
免票	收费 票 季票
免检	NONE
免征	免予 征收 税款
撤资	撤销 投资 撤出 资金
解约	取消 契约
收	接到 接受 发 信 支 讫 益
接收	接纳 收受
收执	捉拿
收取	收留
收受	接收
收纳	收进 留下
接受	承受 接受 演说 邀请
接纳	接受 收纳
接	连成 一体 合 骨 壤 衔
吸纳	吸收 接纳
吸收	物体 外界 物质 吸到 内部
收到	接收 到达 东西 被动
收下	NONE
收起	NONE
接下	NONE
接到	NONE
接过	NONE
笑纳	套语 用于 请人 收下 礼物
点收	指 接收 财产 货物 时 逐件 清点
签收	签名 证明 收到 某物
查收	检查 无误 收下 用于 书信
回收	矿石 废品 副产品 中 收取 有用 材料
截收	NONE
招收	考试 手续 接收 学员 学徒工 工作人员
免收	NONE
抄收	NONE
托收	NONE
限收	NONE
减收	NONE
加收	NONE
短收	NONE
核收	NONE
采收	采摘 收集 采集
实收	官库 收纳 银两 发给 收据 二十年 目睹 怪现状 第六 四回 本来 各处 办捐 老例 係 先 填 一张 实收 捐局 汇齐 捐款 解到 部里 部里 填 官 照发 由报 捐 实收 倒换 官照
机收	NONE
报收	NONE
发	交付 送 出分 ～～ 放 行 批发
颁发	公布 发布
发出	声音
下	位置 低处 层 款
行文	组织 文字 表达
下发	指 落发 剃发
发放	发给
发给	指在 投标 出价 判给 分给
关	闭 合拢 门 闭 张 停 转 ǎ
散发	NONE
分发	逐个 发给
汇出	涌现 辈出
转发	批转 下发
上行	名 一行
下行	我国 铁路 部门 列车 行驶 方向 上行 干线 背着 首都 方向 行驶 干线 支线 行驶 下行 下行列车 编号 奇数 次次
印发	印刷 发行 洪水 似地 印发 货币 感到 吃惊
照发	发放
签发	主管 审核 同意 签字 发出 负责
拨发	调拨 发运
办发	NONE
高发	旧指 科举考试 合格 录用
增发	NONE
群发	NONE
乱发	头发 散乱
多发	属性 词 发生 频率 高 病 事故 地段
配发	标准 分发 配备
政发	NONE
刊发	报纸 杂志 登出
代发	NONE
府发	NONE
卷发	头发 天然 卷曲 模仿 卷曲 做成 发式
收发	收进 发送 公文 信件
放假	停止 学习 工作 休息 度过 假日
指挥	发令 调度
挥	舞动 摇摆 动 袂 甩动 衣袖 形容 意气 豪迈 舞 手
麾	古代 指挥 军队 旗子
发纵指示	发 发现 放纵 通踪 发现 野兽 踪迹 指示 猎狗 跟踪 追捕 比喻 操纵 指挥
统率	率领 指挥
统领	统率 领导
领队	带领 队伍
带队	NONE
带领	引导 领导 指挥
率领	带领
提挈	手提
率	比值 两数 比效 税 圆周 出勤 增长
引领	伸直 脖子   远处 眺望 形容 殷切 期待 样子
执掌	管理
掌握	熟知 并能
掌	手心 脚心 心手 脚 鼓 易如反
握	手指 弯曲 合拢 执持 手 拳 掌 ～～ 力 笔 瑜喻 怀有 美好 德
拿	用手 取握 手里 笔 枪
柄	植物 花叶 果实 跟枝 茎 叶 花
执导	执行 导演
各司其职	司 本意 执掌 主管
兼管	NONE
带兵	率领 军事 队伍
督导	监督 指导
下辖	NONE
控制	掌握住 对象 不使 任意 活动 超出范围 控制者 意愿 活动 控制 羊毛 市场 控制 不住 感情
统制	辖制 统领 管制
宰制	统辖 支配
主宰	主管 支配
支配	安排 调派
操纵	控制 开动机器 仪器
摆布	安排 布置
掌握	熟知 并能
左右	左和右 两 主席台 红旗 迎风 飘扬
牵线	比喻 背后 操纵
驾御	作 驾驭 驾驶 车马
控	告状 指出 罪恶 告 诉指
控管	NONE
受控	NONE
制导	仪器 控制 引导 轨道 运行
制衡	两方 一种 相互 制约 平衡 状态
稳住	犹 安顿 停当 多有 隐瞒 真情 骗人 暂缓
按住	NONE
把持	拿握
垄断	山脉 阻隔
占据	强力
独占	占有
收揽	收买 拉拢 广为 招纳
总揽	
独揽	把持
揽	把持 持独 大权
专	独一 一件 事上 长 á～ 心致志
霸	指 依杖 权势 武力 欺压 集团 王称 恶
据	凭依 倚仗 点 险 固守
把	抓住 酒 酒杯 玩 赏玩
占	有用 强力 据霸 强
弄权	把握 权力 操持 朝政
召集	通知 聚集
招集	招募 集结 招唤 集合
集合	分散 或事物 聚集 聚集
宣布	公之于众
发布	发表
公布	公开 发表
颁布	公布 法令 条例 政府 机关 人民团体 研拟 法令 规章 行政 措施 所属 成员 权利义务 事宜 依法 公布 周知
发表	报刊 登载
宣告	告知
通告	公开 通知
昭示	明白
颁发	公布 发布
揭晓	公布 考试 录取名单 泛指 事情 公开出来
揭示	指出 不易 看清 事理
披露	揭示 隐蔽 隐私 表露 显露
颁	发下 发 布 赏 示 行
公布于众	NONE
发榜	公布 考试成绩 名次 录取 名单
出榜	公布 中试 入选者 姓名
张榜	张贴 公告 榜文
揭榜	考试 出榜 发榜
下令	下达 命令 正式 强制 法规 命令
命令	上级 下级 发布 权威性 指示
指令	指导 号令
通令	上级 机关 命令 发到 所属 若干 地方 部门 指 发往 各处 命令
传令	下达 文件 通知 命令
授命	国家元首 下达 命令
命	NONE
令	上级 下级 指示 命 法 ā～ 夕改
饬	整顿 整齐 整 纪律
发号施令	号 号令 施 发布 发布命令 形容 指挥
三令五申	令 命令 申 表达 命令 告诫
发令	发布命令 发出 号令
吩咐	动 口头 指派 命令
一声令下	NONE
限令	某种 限定 命令
勒令	强令
强令	强制 命令
喝令	大声 发令
令行禁止	下令 立即行动 下令 停止 停止 形容 法令 严正 执行
言出法随	言 指 法令 命令 法 法律 话 说 出口 法律 指 法令 一经 公布 严格执行 如有 违犯 依法处理
宣传	讲解 教育 传播 宣扬
宣扬	传布 传扬 指 张扬 于外
阐扬	阐明 宣扬
揄扬	挥 扬扬
扬	簸动 向上 播散 水 场 á～ 汤止 沸
鼓吹	宣扬 众人
造舆论	NONE
做广告	NONE
大吹大擂	乐器 吹打 比喻 大肆宣扬
大喊大叫	大声 叫嚷 形容 大肆宣传 造舆论
炒作	或事物 影响 媒体 做 反复 宣传 新闻 这位 歌星 名气 大振
发动	
鼓动	言语 激励
掀动	挑动 发动战争
动员	发动 参加 某项 活动
总动员	国家 武装力量 平时 状态 转入 战时 状态 统一 调度 指挥 管理 利用 人力物力 政治经济 文化 活动 服从 战争 紧急措施 指为 某项 事务 动员 力量
兴师动众	兴 发动 众 大队人马 旧指 大规模 出兵 现 多指 动用 人力 做 某件事
劳师动众	劳 疲劳 辛苦 师众 军队 动 出动 动员 原 指出 动 军队 现指 动用 人力
掀腾	掀动 翻腾
号召	口头 书面 形式 发出 召唤 预完
召唤	唤来
呼唤	NONE
唤起	某人   睡梦中 起跑 火焰 房子 里 唤起 这位 老人
召	召唤 集
振臂一呼	振 挥动 挥动 手臂 呼喊 多用 号召
感召	感化 召唤
唤回	NONE
召回	回来 调回来
响应	指其 回响 应声
应	回答 随声 相 答呼 ～～ 对答 è 反 ～ａ 化学 指 物质 发生 化学变化 性质 成分 新 物质 ｂ 动物 刺激 发生 活动 变化 ｃ 回响 反响
一呼百应	呼喊 响应
主叫	自主 呼出方
建议	提出
提议	提出 供 开会 时 提出 供 讨论
纳谏	接受 规劝 多指 君主 接受 臣 进谏 国语 晋语 八纳諫 忘 师言身 不失 其友 唐   陆贽 贞元 九年 大赦 制纳諫 如响 任贤 勿 疑金   王若虚 臣 事实 辨臣 进言 忠君 以纳諫 圣前 汉书 平话 卷 中 任用 贤士 纳諫 如流 清史稿 高宗 纪 锦县   生员   金从善 言建 储立 后纳諫 施德 忤 旨论 斩
建言献计	NONE
提请	上级 提议 请求 批准 同意
就事论事	事物 性质 评定 是非得失 现 常指 事物 表面现象 孤立 静止 片面 议论
议而不决	NONE
存而不论	存 保留 指 保留 暂不 讨论
决定	做出
定规	现成 久已 通行 规矩 成规
裁夺	判断 作出 定夺
裁决	裁判 断定
裁断	裁决 判断
裁定	裁决 判定
核定	核查
议定	商议 汉书 高后 纪今 欲 差次 列侯功 以定 朝位 臧于   高庙 世世 勿 絶 嗣子 各袭 其功位 列侯 议定 奏之明   王骥 边务五事 疏今 议定 功次 获 首级 赎 死罪 获 二级 赎 其徒 流罪 冰心 晚晴 集 童年 开会 时 议定 题目 限 韵 做 诗
议决	讨论 作出
表决	会议 投票 举手 方式 做出
定夺	事情 可否 取舍
公断	秉公 判断
公决	
仲裁	公认 第三者 争端 两方 间 裁定 公断
决策	策略 办法
定局	改变 局面 形势
拍板	打拍子
定	NONE
决断	做
处决	依法 命令 执行 死刑
定案	案件 方案
断	长形 东西 分开 裂 层 面截 ～～ 肠 魂 线 风筝
商定	协商 达成协议 解决办法
规定	法律 用词 预先 制定 规则 标准 如在 合同 条约 契约 遗嘱 法律 中
确定	肯定
否定	暗示 两个 相互 排斥 事物 一方 另一方 取消 废除
否决	事物 作 否认 议决
推翻	竖立 之物 推倒
待定	一是 指 取代 代用 代理人 代用品 二指 等待 未 事要 合适 时机 因素
全民公决	NONE
作主	某件事 作出 负 全责
内定	多指 人事 调配
预定	事前 约定
测定	测量
厘定	修改 订立
盖棺论定	论定 下结论 盖上 棺材 盖 下结论 人死 一生 作出评价
锁定	固定不动 最终 紧跟 修改
额定	数目 数量
原定	NONE
暂定	暂时 安排
划定	固定 界限
明文规定	NONE
定为	不动 额 价 律 期 型 义 ū～ 稿 数 ùａ 数额 ｂ 指 天命 ｃ 数额 断 规 鉴
定于	暂无 解释
制订	制定 拟订
制定	章程 计划 法规
创制	创建 创造
拟订	初步 制订 起草
拟定	揣测 推断
草拟	起草 初步 拟出
拟	打算 信 议
拟就	NONE
定标	标准件 误差 测量 仪表 尤指 以此 修正 系数
登记	载入 正式 记录
注册	名字 记入 簿册 多指 某种 资格
报	传达 告知 告 喜 捷 考 请用 书面报告 上级 请示 废
挂号	领取 号码 次序 所要 事项
报了名	NONE
签到	簿册 签名 写 一到 字 到达 用于 出席会议 上班 沙汀 困兽 记 二四 这时候 一批 闲着 无事 茶馆 坐在 位置 喝茶 中年 老年 茶客 正像 签到 应卯 巴金 寒夜 二八   锺 签到   锺   王西彦 小人物 愤怒 一日三餐 办公处 回家 从家 办公处 签到
报到	部门 报告 已到
记名	写 姓名 权利 责任
登录	列入 记载
报失	机关 报告 财物 丢失 查寻
挂失	发证 机关 登记 遗失 票证 号码 公开 声明 作废
在册	NONE
立案	政府 机关 注册 登记
备案	主管机关 报告 事由 登记 备查
在案	常用 公文 词语 指 录入 案卷 可资 备查
登报	报纸 刊载
申请	上级 部门 申述 理由 请求 批准
报名	报名 àí  报告 姓名 报名 àí  投考 应征 时 填写 姓名 籍贯 年龄 一种 手续 报名单
提请	上级 提议 请求 批准 同意
报考	报名 投考
投考	报名 参加考试
申办	NONE
报告	上级 群众 调查 观察 提出 详细 书面材料 或作 口头 叙述
汇报	综合 材料 上级 群众 报告
上告	原 指向 天 呼吁 诉之于 上帝 现 指向 上级 机关 司法部门 告状
上报	上级 报告
呈报	敬词 呈文 上报
层报	逐级 向上 报告
申报	上级 部门 提出 书面报告
禀报	上级 报告
反映	反照 比喻 表现 客观事物 本质
举报	上报 清   黄六 鸿福 惠 全书 教养 礼耆 德择 本乡 年 八十 素有 德行 从公 确实 举报
反馈	泛指 发出 事物 返回 发出 起始 点 影响
上书	君主 进呈 书面 意见 地位 高 写信 陈述 意见
奏	作乐 èㄩㄝˋ 曲调 吹弹 乐器 演 ～～ 国歌 鸣曲
报账	主管人员 报告 领用 经手 款项 情况
填报	填写 上报 每月 填报 生产 进度表
报批	报请 上级 批示
报税	税务 部门 申报 办理 纳税 手续
签字	亲笔签名
签名	NONE
具名	文件 文本 签署 姓名
署名	书信 文件 文稿 签署 姓名
签署	文件 条约 凭证 签字
签	写 姓名 或画 符号 名 字 发 收 署 押 订
署	办理 公务 机关 专 公 官
签定	NONE
签约	写 姓名 或画 符号 名 字 发 收 署 押 订
画押	旧时 公文 契约 供状 上画 花押 写 押 字 十字 认可
签押	旧时 文书 签名 画押
押尾	文书 契约 末尾 画押
瑞签	写 吉利话 红 纸条 春节 期间 张贴
草签	条约 缔结 过程 中 程序
续签	NONE
盖章	图案 刻字 作 印记 以示 确证 检验 批准
打印	刻 蜡版 油印
加盖	纹章 图形 加在 纹章 图形
批示	上级 下级 公文   写出 书面 意见 指 书面 意见 文字
批复	下级 书面报告 批注 意见 答复
批	用手掌 颊 打嘴巴
批转	写 名称 指示 备忘 事项 解释 如在 正式 文件
签注	证件 表册 批注 意见 事项
签证	当局 护照 持有者 希望 国家 护照 签注 检查 护照 持有人 入境 许可
签	写 姓名 或画 符号 名 字 发 收 署 押 订
批准	上级 下级 意见建议 请求 表示同意
照准	旧时 公文 用语 表示同意 批准 下级 请示
准予	准许 同意
准许	许可
许可	答应
认可	承认 许可
特许	当局 给予 特别 许可
准	许可 许 予批
获准	许可
特批	特别 批准 这件 事要 领导
开绿灯	开亮 绿色 信号灯 准予 通行 比喻 禁止
恩准	降恩 准予 请求 敬称 批准
禁止	准许 不许
取缔	明令 取消 禁止 某事
查禁	检查 禁止
禁	不许 制止 止 书 令 赌 欲 锢 情不自
禁绝	禁止
不准	
明令禁止	NONE
严令禁止	NONE
来不得	
严禁	禁止
禁而不止	NONE
